var_name,consumer_repo,consumer_service,source_path,source_line,var_type
.env,noorinalabs-user-service,,noorinalabs-user-service/docker-compose.dev.yml,9,docker-env-file
ALERTMANAGER_CONFIG_FILE,noorinalabs-deploy,compose,noorinalabs-deploy/compose/.env.example,53,dotenv-example
AUTH_ACCESS_TOKEN_EXPIRE_MINUTES,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/.env.example,39,dotenv-example
AUTH_APPLE_CLIENT_ID,noorinalabs-user-service,,noorinalabs-user-service/.env.example,55,dotenv-example
AUTH_APPLE_CLIENT_ID,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,89,pydantic-setting
AUTH_APPLE_KEY_ID,noorinalabs-user-service,,noorinalabs-user-service/.env.example,57,dotenv-example
AUTH_APPLE_KEY_ID,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,91,pydantic-setting
AUTH_APPLE_PRIVATE_KEY,noorinalabs-user-service,,noorinalabs-user-service/.env.example,58,dotenv-example
AUTH_APPLE_PRIVATE_KEY,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,92,pydantic-setting
AUTH_APPLE_TEAM_ID,noorinalabs-user-service,,noorinalabs-user-service/.env.example,56,dotenv-example
AUTH_APPLE_TEAM_ID,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,90,pydantic-setting
AUTH_FACEBOOK_APP_ID,noorinalabs-user-service,,noorinalabs-user-service/.env.example,61,dotenv-example
AUTH_FACEBOOK_APP_ID,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,95,pydantic-setting
AUTH_FACEBOOK_APP_SECRET,noorinalabs-user-service,,noorinalabs-user-service/.env.example,62,dotenv-example
AUTH_FACEBOOK_APP_SECRET,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,96,pydantic-setting
AUTH_GITHUB_CLIENT_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-all.yml,37,gha-secret
AUTH_GITHUB_CLIENT_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-isnad-graph.yml,56,gha-secret
AUTH_GITHUB_CLIENT_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-prod.yml,212,gha-secret
AUTH_GITHUB_CLIENT_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-stg.yml,126,gha-secret
AUTH_GITHUB_CLIENT_ID,noorinalabs-deploy,compose,noorinalabs-deploy/compose/.env.example,15,dotenv-example
AUTH_GITHUB_CLIENT_ID,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,141,docker-env
AUTH_GITHUB_CLIENT_ID,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,390,docker-env
AUTH_GITHUB_CLIENT_ID,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/CLAUDE.md,153,claude-md-ref
AUTH_GITHUB_CLIENT_ID,noorinalabs-user-service,,noorinalabs-user-service/.env.example,51,dotenv-example
AUTH_GITHUB_CLIENT_ID,noorinalabs-user-service,,noorinalabs-user-service/CLAUDE.md,86,claude-md-ref
AUTH_GITHUB_CLIENT_ID,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,85,pydantic-setting
AUTH_GITHUB_CLIENT_SECRET,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-all.yml,38,gha-secret
AUTH_GITHUB_CLIENT_SECRET,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-isnad-graph.yml,57,gha-secret
AUTH_GITHUB_CLIENT_SECRET,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-prod.yml,213,gha-secret
AUTH_GITHUB_CLIENT_SECRET,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-stg.yml,127,gha-secret
AUTH_GITHUB_CLIENT_SECRET,noorinalabs-deploy,compose,noorinalabs-deploy/compose/.env.example,16,dotenv-example
AUTH_GITHUB_CLIENT_SECRET,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,142,docker-env
AUTH_GITHUB_CLIENT_SECRET,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,391,docker-env
AUTH_GITHUB_CLIENT_SECRET,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/CLAUDE.md,153,claude-md-ref
AUTH_GITHUB_CLIENT_SECRET,noorinalabs-user-service,,noorinalabs-user-service/.env.example,52,dotenv-example
AUTH_GITHUB_CLIENT_SECRET,noorinalabs-user-service,,noorinalabs-user-service/CLAUDE.md,86,claude-md-ref
AUTH_GITHUB_CLIENT_SECRET,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,86,pydantic-setting
AUTH_GOOGLE_CLIENT_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-all.yml,35,gha-secret
AUTH_GOOGLE_CLIENT_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-isnad-graph.yml,54,gha-secret
AUTH_GOOGLE_CLIENT_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-prod.yml,210,gha-secret
AUTH_GOOGLE_CLIENT_ID,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-stg.yml,124,gha-secret
AUTH_GOOGLE_CLIENT_ID,noorinalabs-deploy,compose,noorinalabs-deploy/compose/.env.example,13,dotenv-example
AUTH_GOOGLE_CLIENT_ID,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,139,docker-env
AUTH_GOOGLE_CLIENT_ID,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,388,docker-env
AUTH_GOOGLE_CLIENT_ID,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/docker-compose.test.yml,46,docker-env
AUTH_GOOGLE_CLIENT_ID,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/CLAUDE.md,152,claude-md-ref
AUTH_GOOGLE_CLIENT_ID,noorinalabs-user-service,,noorinalabs-user-service/.env.example,47,dotenv-example
AUTH_GOOGLE_CLIENT_ID,noorinalabs-user-service,,noorinalabs-user-service/CLAUDE.md,85,claude-md-ref
AUTH_GOOGLE_CLIENT_ID,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,81,pydantic-setting
AUTH_GOOGLE_CLIENT_SECRET,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-all.yml,36,gha-secret
